                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    155,                0.66183,                0.57369,                 1.0928,                0.85838,                  0.699,                0.81147,                0.66467,                0.74118,                0.77389,                 1.0629,              0.0069706,              0.0069706,              0.0069706
                    156,                0.66239,                0.57928,                 1.0917,                0.83423,                0.72408,                0.81404,                0.66787,                0.74754,                0.76278,                 1.0687,              0.0069508,              0.0069508,              0.0069508
                    157,                0.65599,                0.57318,                 1.0999,                0.83101,                0.72065,                0.81321,                0.67023,                0.73903,                0.77473,                 1.0651,               0.006931,               0.006931,               0.006931
                    158,                0.67311,                0.57743,                 1.1025,                0.82147,                0.72416,                0.81565,                0.67152,                0.74641,                0.77358,                 1.0581,              0.0069112,              0.0069112,              0.0069112
                    159,                0.65983,                 0.5677,                 1.0882,                0.82261,                0.71743,                0.81281,                0.66932,                0.74095,                0.77032,                 1.0612,              0.0068914,              0.0068914,              0.0068914
                    160,                 0.6592,                 0.5724,                 1.0941,                0.80918,                0.72696,                0.81362,                0.66757,                0.73924,                0.77329,                 1.0634,              0.0068716,              0.0068716,              0.0068716
                    161,                0.66237,                0.56837,                 1.0952,                  0.798,                0.73854,                0.81207,                0.66707,                0.73751,                 0.7947,                 1.0555,              0.0068518,              0.0068518,              0.0068518
                    162,                0.65593,                0.56597,                  1.095,                0.85033,                 0.7184,                0.81162,                0.66811,                0.74847,                0.77463,                 1.0667,               0.006832,               0.006832,               0.006832
                    163,                0.66455,                0.56017,                 1.0952,                0.79881,                0.74457,                0.80449,                0.66623,                0.73867,                0.77273,                 1.0597,              0.0068122,              0.0068122,              0.0068122
                    164,                0.66106,                0.56767,                 1.0935,                 0.8285,                0.72795,                0.81054,                0.66576,                0.74641,                0.77847,                 1.0581,              0.0067924,              0.0067924,              0.0067924
                    165,                0.65053,                0.55664,                 1.0819,                0.83357,                0.71356,                0.81246,                0.66929,                0.74221,                0.77677,                 1.0633,              0.0067726,              0.0067726,              0.0067726
                    166,                0.65656,                0.57223,                 1.0921,                0.83214,                0.71452,                0.81377,                0.67104,                0.74209,                0.77366,                 1.0593,              0.0067528,              0.0067528,              0.0067528
                    167,                0.65515,                0.55588,                 1.0852,                0.83234,                 0.7124,                0.80606,                0.66342,                0.74498,                0.77921,                 1.0699,               0.006733,               0.006733,               0.006733
                    168,                0.64897,                 0.5606,                 1.0944,                0.80494,                0.72092,                0.80055,                0.65698,                  0.747,                0.78463,                  1.075,              0.0067132,              0.0067132,              0.0067132
                    169,                0.64952,                0.56839,                 1.0889,                  0.805,                 0.7486,                 0.8084,                0.66275,                0.73734,                 0.7742,                 1.0599,              0.0066934,              0.0066934,              0.0066934
                    170,                0.64984,                0.55351,                 1.0827,                0.85232,                0.72595,                0.81358,                0.66789,                0.73942,                 0.7692,                 1.0622,              0.0066736,              0.0066736,              0.0066736
                    171,                0.65303,                0.55417,                 1.0921,                0.79589,                0.74792,                0.81237,                0.66724,                0.73462,                0.76543,                 1.0624,              0.0066538,              0.0066538,              0.0066538
                    172,                0.65883,                0.56324,                   1.09,                0.78837,                0.74833,                0.81259,                 0.6679,                 0.7424,                0.79018,                 1.0659,               0.006634,               0.006634,               0.006634
                    173,                0.64738,                0.56202,                 1.0856,                0.82369,                0.73218,                0.80737,                0.66266,                0.74902,                0.78144,                 1.0701,              0.0066142,              0.0066142,              0.0066142
                    174,                0.64617,                0.55094,                 1.0762,                0.81072,                0.75011,                0.81211,                0.66907,                0.74299,                  0.772,                 1.0695,              0.0065944,              0.0065944,              0.0065944
                    175,                0.65257,                 0.5609,                 1.0834,                0.81899,                0.73675,                0.81218,                0.66707,                0.74758,                0.77361,                 1.0718,              0.0065746,              0.0065746,              0.0065746
                    176,                0.64089,                0.54859,                 1.0809,                0.80826,                0.75026,                0.81636,                0.67081,                0.74789,                0.76015,                 1.0767,              0.0065548,              0.0065548,              0.0065548
                    177,                0.64612,                0.56013,                 1.0854,                0.84262,                0.72382,                0.81393,                   0.67,                0.74239,                0.76192,                 1.0694,               0.006535,               0.006535,               0.006535
                    178,                0.64137,                0.55742,                 1.0811,                0.84709,                0.72522,                0.81031,                0.66848,                0.73877,                 0.7709,                 1.0641,              0.0065152,              0.0065152,              0.0065152
                    179,                0.65434,                0.55309,                 1.0795,                0.81442,                0.74267,                0.80844,                0.66213,                0.75478,                0.77999,                 1.0775,              0.0064954,              0.0064954,              0.0064954
                    180,                0.64564,                0.54607,                 1.0808,                0.81814,                0.74324,                0.81633,                0.67626,                0.74385,                0.75938,                  1.069,              0.0064756,              0.0064756,              0.0064756
                    181,                0.63969,                0.53768,                 1.0779,                0.82094,                0.72944,                0.80666,                0.66243,                0.75266,                0.78647,                 1.0708,              0.0064558,              0.0064558,              0.0064558
                    182,                0.64272,                  0.539,                 1.0822,                0.84069,                0.71025,                0.80656,                0.66289,                0.74194,                0.79402,                 1.0662,               0.006436,               0.006436,               0.006436
                    183,                 0.6313,                 0.5382,                 1.0758,                 0.8386,                0.71465,                0.81311,                0.66506,                0.74286,                0.76913,                 1.0642,              0.0064162,              0.0064162,              0.0064162
