                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.8348,                0.89677,                 1.2098,                0.75837,                0.69304,                0.76148,                0.60535,                0.82226,                0.91936,                 1.1415,              0.0093466,              0.0093466,              0.0093466
                     36,                0.82806,                0.86353,                 1.2055,                0.78082,                0.73756,                0.80331,                0.63696,                0.80287,                0.86419,                 1.1227,              0.0093268,              0.0093268,              0.0093268
                     37,                0.85093,                  0.897,                 1.2209,                0.79694,                0.71687,                0.79558,                 0.6262,                0.81644,                0.86594,                 1.1249,               0.009307,               0.009307,               0.009307
                     38,                0.81925,                0.86906,                 1.2044,                0.80893,                0.70498,                0.77515,                0.60408,                0.82168,                0.91205,                 1.1396,              0.0092872,              0.0092872,              0.0092872
                     39,                0.84021,                0.87584,                 1.2133,                 0.7738,                0.73512,                0.78649,                0.62139,                0.82157,                0.89372,                 1.1439,              0.0092674,              0.0092674,              0.0092674
                     40,                0.81976,                0.85223,                 1.2037,                 0.8365,                0.68502,                0.78622,                 0.6222,                0.81437,                0.87924,                 1.1277,              0.0092476,              0.0092476,              0.0092476
                     41,                0.83367,                0.86848,                 1.2043,                 0.8046,                0.71508,                0.79577,                0.63062,                0.81383,                0.87652,                 1.1318,              0.0092278,              0.0092278,              0.0092278
                     42,                0.81562,                0.83628,                  1.195,                0.79032,                0.70804,                0.79632,                0.63325,                0.80775,                0.86344,                 1.1222,               0.009208,               0.009208,               0.009208
                     43,                0.81617,                0.84576,                 1.2013,                0.84065,                0.70562,                0.79967,                0.63771,                0.79676,                0.85936,                  1.107,              0.0091882,              0.0091882,              0.0091882
                     44,                0.82517,                0.85095,                 1.1988,                0.79423,                0.71884,                0.78705,                0.62063,                0.83235,                0.86964,                 1.1411,              0.0091684,              0.0091684,              0.0091684
                     45,                0.81815,                   0.84,                 1.1926,                0.80497,                0.69101,                  0.783,                0.62123,                 0.8245,                0.93392,                 1.1391,              0.0091486,              0.0091486,              0.0091486
                     46,                0.81082,                   0.81,                 1.1839,                0.83884,                0.68866,                0.81018,                0.65087,                0.78036,                0.83427,                  1.099,              0.0091288,              0.0091288,              0.0091288
                     47,                0.82179,                 0.8236,                 1.1964,                0.81853,                 0.6871,                0.79721,                0.62933,                0.80671,                0.91267,                 1.1406,               0.009109,               0.009109,               0.009109
                     48,                0.80727,                0.81127,                 1.1885,                0.80758,                0.71524,                0.78985,                  0.629,                0.81173,                0.86142,                 1.1253,              0.0090892,              0.0090892,              0.0090892
                     49,                 0.8068,                0.80598,                 1.1899,                0.82261,                0.70952,                0.79336,                0.63442,                0.81085,                0.87298,                 1.1274,              0.0090694,              0.0090694,              0.0090694
                     50,                0.81259,                0.82187,                 1.1962,                0.79585,                0.72076,                0.78557,                0.61967,                0.80312,                0.87674,                 1.1197,              0.0090496,              0.0090496,              0.0090496
                     51,                0.79165,                0.78976,                 1.1813,                0.82413,                0.71487,                0.80405,                0.63863,                0.80667,                0.84163,                 1.1299,              0.0090298,              0.0090298,              0.0090298
                     52,                0.79889,                0.79973,                 1.1919,                0.86595,                0.70029,                0.81129,                0.65535,                0.78179,                0.79416,                 1.1036,                0.00901,                0.00901,                0.00901
                     53,                0.78818,                0.78232,                 1.1839,                 0.8525,                0.69995,                0.80687,                 0.6457,                 0.7953,                 0.8095,                 1.1136,              0.0089902,              0.0089902,              0.0089902
                     54,                 0.7942,                0.79651,                 1.1858,                0.84716,                0.70126,                0.80364,                0.64704,                0.79025,                0.84084,                 1.1118,              0.0089704,              0.0089704,              0.0089704
                     55,                0.78241,                0.79209,                 1.1838,                0.78746,                0.73915,                0.80109,                0.63899,                0.79713,                0.81722,                 1.1169,              0.0089506,              0.0089506,              0.0089506
                     56,                0.79151,                0.79606,                  1.185,                0.84802,                0.69753,                0.80947,                0.64445,                0.80756,                0.82556,                 1.1316,              0.0089308,              0.0089308,              0.0089308
                     57,                0.78785,                0.77582,                 1.1793,                 0.8239,                0.70538,                0.79818,                0.63427,                0.80162,                0.86097,                 1.1246,               0.008911,               0.008911,               0.008911
                     58,                0.78988,                0.76871,                 1.1783,                0.80876,                0.72994,                0.79583,                0.64274,                0.78393,                0.83509,                 1.1024,              0.0088912,              0.0088912,              0.0088912
                     59,                0.79048,                0.76576,                 1.1742,                0.85946,                0.70899,                0.81032,                0.65445,                0.78555,                 0.8158,                 1.1063,              0.0088714,              0.0088714,              0.0088714
